Place Name,Suburb,Latitude,Longitude,Sports Played,Number of Field Courts,Field Surface Type,Facility Condition,Changerooms,Municipality,Address,Facility Name,Categories,Historical Information,Url
Donvale Reserve,Donvale,-37.79443,145.175822,Australian Rules Football,1.0,Grass,3. Average,Male,Manningham,Mitcham Road Donvale 3111,,"['Manningham', 'Donvale', 'Sports', 'Football']",,
Koonung Park,Blackburn North,-37.778417,145.087885,Australian Rules Football,1.0,Grass,2. Poor,Male,Manningham,Furneax Grove Blackburn North 3130,,"['Manningham', 'Blackburn North', 'Sports', 'Football']",,
Marcellin College,Bulleen,-37.774856,145.08208,Australian Rules Football,1.0,Grass,,,Manningham,Bulleen Road Bulleen 3105,,"['Manningham', 'Bulleen', 'Sports', 'Football']",,
Schramms Reserve,Doncaster,-37.782533,145.13363600000002,Australian Rules Football,2.0,Grass,5. Very Good,Male,Manningham,JJ Tully Drive Doncaster 3108,,"['Manningham', 'Doncaster', 'Sports', 'Football']",,
Serpells Community Reserve,Templestowe,-37.76999,145.152431,Australian Rules Football,1.0,Grass,,,Manningham,Burleigh Drive Templestowe 3106,,"['Manningham', 'Templestowe', 'Sports', 'Football']",,
Stintons Reserve,Park Orchards,-37.767674,145.204295,Australian Rules Football,1.0,Grass,4. Good,Male,Manningham,Stintons Road Park Orchards 3114,,"['Manningham', 'Park Orchards', 'Sports', 'Football']",,
Ted Ajani Reserve,Lower Templestowe,-37.768042,145.106722,Australian Rules Football,1.0,Grass,5. Very Good,"Male, Umpire/Officials",Manningham,Thompsons Road Lower Templestowe 3107,,"['Manningham', 'Lower Templestowe', 'Sports', 'Football']",,
Templestowe Reserve,Templestowe,-37.754360999999996,145.13734,Australian Rules Football,2.0,Grass,5. Very Good,Unisex,Manningham,Hawtin Street Templestowe 3106,,"['Manningham', 'Templestowe', 'Sports', 'Football']",,
Timber Ridge Reserve,Doncaster,-37.776171000000005,145.10674699999998,Australian Rules Football,1.0,Grass,4. Good,Unisex,Manningham,Marianne Way Doncaster 3108,,"['Manningham', 'Doncaster', 'Sports', 'Football']",,
Warrandyte Reserve,Warrandyte,-37.745651,145.208599,Australian Rules Football,2.0,Grass,2. Poor,"Female, Male",Manningham,Taroona Avenue Warrandyte 3113,,"['Manningham', 'Warrandyte', 'Sports', 'Football']",,
Wilsons Road Reserve,Doncaster,-37.791593,145.110164,Australian Rules Football,1.0,Grass,4. Good,"Female, Male",Manningham,Wilsons Road Doncaster 3108,,"['Manningham', 'Doncaster', 'Sports', 'Football']",,
Zerbes Reserve,East Doncaster,-37.778358000000004,145.160145,Australian Rules Football,1.0,Grass,5. Very Good,"Female, Male",Manningham,Saxonwood Drive East Doncaster 3109,,"['Manningham', 'East Doncaster', 'Sports', 'Football']",,
Doncaster Badminton Centre,Doncaster,-37.785709999999995,145.131872,Badminton,6.0,Wooden Gymnasium,4. Good,"Female, Male",Manningham,Hummel Way Doncaster 3108,,"['Manningham', 'Doncaster', 'Sports', 'Badminton']",,
Manningham Donvale Indoor Sports Centre,Springvale,-37.799434999999995,145.177737,Badminton,,Wooden Gymnasium,5. Very Good,Unisex,Manningham,360 Springvale Road Springvale 3171,,"['Manningham', 'Springvale', 'Sports', 'Badminton']",,
Deep Creek Reserve,East Doncaster,-37.75117,145.174676,Baseball,1.0,Grass,4. Good,Unisex,Manningham,Warrandyte Road East Doncaster 3109,,"['Manningham', 'East Doncaster', 'Sports', 'Baseball']",,
Doncaster Leeds Street Sports Centre,East Doncaster,-37.788628,145.15131599999998,Basketball,1.0,Wooden Gymnasium,4. Good,,Manningham,Leeds Street East Doncaster 3109,,"['Manningham', 'East Doncaster', 'Sports', 'Basketball']",,
Park Orchards Community Centre,Park Orchards,-37.778933,145.215429,Basketball,1.0,Wooden Gymnasium,4. Good,"Female, Male",Manningham,Bowmore Avenue Park Orchards 3114,,"['Manningham', 'Park Orchards', 'Sports', 'Basketball']",,
Templestowe Heights Primary School,Templestowe,-37.766628999999995,145.120015,Basketball,1.0,Wooden Gymnasium,3. Average,,Manningham,High Street Templestowe 3106,,"['Manningham', 'Templestowe', 'Sports', 'Basketball']",,
Templestowe Leisure Centre,Templestowe,-37.758454,145.12860700000002,Basketball,2.0,Wooden Gymnasium,4. Good,Unisex,Manningham,1 Anderson Street Templestowe 3106,,"['Manningham', 'Templestowe', 'Sports', 'Basketball']",,
The Veneto Club,Bulleen,-37.772202,145.077675,Basketball,1.0,Wooden Gymnasium,,,Manningham,191 Bulleen Road Bulleen 3105,,"['Manningham', 'Bulleen', 'Sports', 'Basketball']",,
Wonga Park Reserve,Wonga Park,-37.739211,145.26718400000001,BMX,1.0,Dirt,,,Manningham,Launders Avenue Wonga Park 3115,,"['Manningham', 'Wonga Park', 'Sports']",,
Boronia Grove Reserve,East Doncaster,-37.799118,145.152792,Cricket,1.0,Synthetic Pitch,3. Average,,Manningham,Leeds Street East Doncaster 3109,,"['Manningham', 'East Doncaster', 'Sports', 'Cricket']",,
Burgundy Drive Reserve,Doncaster,-37.779498,145.118803,Cricket,1.0,Concrete Pitch,,,Manningham,Burgundy Drive Doncaster 3108,,"['Manningham', 'Doncaster', 'Sports', 'Cricket']",,
Buck Reserve,Donvale,-37.766492,145.186757,Equestrian,,,,,Manningham,Reynolds Road Donvale 3111,,"['Manningham', 'Donvale', 'Sports']",,
Aquarena,Lower Templestowe,-37.773865,145.123387,Fitness / Gymnasium Workouts,2.0,,4. Good,"Female, Male, Unisex",Manningham,153 williamsons Road Lower Templestowe 3107,,"['Manningham', 'Lower Templestowe', 'Sports', 'Gymnasium']",,
Contours Doncaster,East Doncaster,-37.789012,145.149702,Fitness / Gymnasium Workouts,1.0,,,,Manningham,44 Jackson Court East Doncaster 3109,,"['Manningham', 'East Doncaster', 'Sports', 'Gymnasium']",,
Definition Fitness Centre,East Doncaster,-37.776105,145.165123,Fitness / Gymnasium Workouts,1.0,,,,Manningham,352 Blackburn Road East Doncaster 3109,,"['Manningham', 'East Doncaster', 'Sports', 'Gymnasium']",,
Equilibrium Health & Fitness,East Doncaster,-37.764911,145.173067,Fitness / Gymnasium Workouts,1.0,,,,Manningham,136-140 Anderson Creek Road East Doncaster 3109,,"['Manningham', 'East Doncaster', 'Sports', 'Gymnasium']",,
Fernwood Bulleen,Bulleen,-37.767133,145.093037,Fitness / Gymnasium Workouts,1.0,,,,Manningham,109 Manningham Road Bulleen 3105,,"['Manningham', 'Bulleen', 'Sports', 'Gymnasium']",,
Focus Health & Fitness,Bulleen,-37.764466,145.082503,Fitness / Gymnasium Workouts,1.0,,,,Manningham,209 Bulleen Road Bulleen 3105,,"['Manningham', 'Bulleen', 'Sports', 'Gymnasium']",,
Genesis Doncaster,Doncaster,-37.779595,145.123064,Fitness / Gymnasium Workouts,1.0,,,,Manningham,9 williamsons Road Doncaster 3108,,"['Manningham', 'Doncaster', 'Sports', 'Gymnasium']",,
Gracie Jiu-Jitsu Templestowe,Templestowe,-37.757265000000004,145.1279,Fitness / Gymnasium Workouts,1.0,,,,Manningham,143A Parker Street Templestowe 3106,,"['Manningham', 'Templestowe', 'Sports', 'Gymnasium']",,
Inspire Health & Wellness,Templestowe,-37.753999,145.148747,Fitness / Gymnasium Workouts,1.0,,,,Manningham,200 High Street Templestowe 3106,,"['Manningham', 'Templestowe', 'Sports', 'Gymnasium']",,
Life your Way,Doncaster,-37.779497,145.141453,Fitness / Gymnasium Workouts,1.0,,,,Manningham,181 George Street Doncaster 3108,,"['Manningham', 'Doncaster', 'Sports', 'Gymnasium']",,
RivvaPT,Warrandyte,-37.737468,145.22392,Fitness / Gymnasium Workouts,1.0,,,,Manningham,266 Yarra Street Warrandyte 3113,,"['Manningham', 'Warrandyte', 'Sports', 'Gymnasium']",,
Eastern Golf Club,Doncaster,-37.786687,145.113026,Golf,18.0,18 Hole Course - Private,,,Manningham,Doncaster Road Doncaster 3108,,"['Manningham', 'Doncaster', 'Sports', 'Golf']",,
Yarra Valley Country Club,Bulleen,-37.757290000000005,145.08418799999998,Golf,9.0,9 Hole Course - Public,,,Manningham,Templestowe Road Bulleen 3105,,"['Manningham', 'Bulleen', 'Sports', 'Golf']",,
Mullum Mullum Reserve,Donvale,-37.767084000000004,145.18440900000002,Hockey,1.0,Artificial Turf,4. Good,Unisex,Manningham,Springvale Road Donvale 3111,,"['Manningham', 'Donvale', 'Sports', 'Hockey']",,
Trinity Grammar Sports Ground,Bulleen,-37.773272,145.085455,Hockey,1.0,Artificial Turf,,,Manningham,Barak Street Bulleen 3105,,"['Manningham', 'Bulleen', 'Sports', 'Hockey']",,
Doncaster Bowling Club,Doncaster,-37.78501,145.132987,Lawn Bowls,2.0,Grass,4. Good,Female,Manningham,JJ Tully Drive Doncaster 3108,,"['Manningham', 'Doncaster', 'Sports']",,
Templestowe Bowls Club,Templestowe,-37.756735,145.12306,Lawn Bowls,1.0,Grass,4. Good,"Female, Male",Manningham,Parker Street Templestowe 3106,,"['Manningham', 'Templestowe', 'Sports']",,
Bulleen Bowl,Lower Templestowe,-37.762027,145.099735,Skating,1.0,,4. Good,,Manningham,Swanston Street Lower Templestowe 3107,,"['Manningham', 'Lower Templestowe', 'Sports', 'Skating']",,
Anderson Park,Donvale,-37.765054,145.170166,Soccer,3.0,Grass,5. Very Good,"Female, Male, Umpire/Officials, Unisex",Manningham,Andersons Creek Road Donvale 3111,,"['Manningham', 'Donvale', 'Sports', 'Soccer']",,
Park Avenue Reserve,Doncaster,-37.784724,145.101257,Soccer,1.0,Grass,4. Good,"Male, Umpire/Officials",Manningham,Parker Avenue Doncaster 3108,,"['Manningham', 'Doncaster', 'Sports', 'Soccer']",,
Petty's Reserve,Templestowe,-37.760723,145.151832,Soccer,1.0,Grass,4. Good,,Manningham,Reynolds Road Templestowe 3106,,"['Manningham', 'Templestowe', 'Sports', 'Soccer']",,
Westerfolds Sports Centre,Templestowe,-37.756966,145.124166,Squash / Racquetball,8.0,,,,Manningham,2 Swilk Street Templestowe 3106,,"['Manningham', 'Templestowe', 'Sports', 'Squash']",,
Doncaster Tennis Club,Doncaster,-37.787693,145.139593,Tennis (Outdoor),2.0,Artificial Turf,4. Good,"Female, Male",Manningham,Doncaster Road Doncaster 3108,,"['Manningham', 'Doncaster', 'Sports', 'Tennis']",,
Hillcrest Tennis Club,Donvale,-37.801927,145.195356,Tennis (Outdoor),1.0,Plexipave,4. Good,,Manningham,Lisbeth Avenue Donvale 3111,,"['Manningham', 'Donvale', 'Sports', 'Tennis']",,
Park Orchards Reserve,Park Orchards,-37.778469,145.21406000000002,Tennis (Outdoor),6.0,Artificial Turf,4. Good,"Female, Male",Manningham,Granard Avenue Park Orchards 3114,,"['Manningham', 'Park Orchards', 'Sports', 'Tennis']",,
Pennell Reserve,Braybrook,-37.776336,144.85114,Archery,,,,,Maribyrnong,Burke Street Braybrook 3019,,"['Maribyrnong', 'Braybrook', 'Sports']",,
Dobson Reserve,Maidstone,-37.787463,144.866889,Australian Rules Football,1.0,Grass,2. Poor,"Umpire/Officials, Unisex",Maribyrnong,Corner Churchill Ave and Montgomery Street Maidstone 3012,,"['Maribyrnong', 'Maidstone', 'Sports', 'Football']",,
Hanmer Reserve,Yarraville,-37.812247,144.899087,Australian Rules Football,1.0,Grass,2. Poor,"Female, Male, Umpire/Officials",Maribyrnong,Harris Street Yarraville 3013,,"['Maribyrnong', 'Yarraville', 'Sports', 'Football']",,
Hansen Reserve,West Footscray,-37.803852,144.872795,Australian Rules Football,2.0,Grass,2. Poor,"Umpire/Officials, Unisex",Maribyrnong,Roberts Street West Footscray 3012,,"['Maribyrnong', 'West Footscray', 'Sports', 'Football']",,
Kevin Shorten Reserve,Footscray,-37.794854,144.878587,Australian Rules Football,1.0,Grass,1. Very Poor,"Umpire/Officials, Unisex",Maribyrnong,Blandford Street Footscray 3011,,"['Maribyrnong', 'Footscray', 'Sports', 'Football']",,
Kinder Smith Reserve,Braybrook,-37.784164000000004,144.849597,Australian Rules Football,1.0,Grass,4. Good,Unisex,Maribyrnong,Lily Street Braybrook 3019,,"['Maribyrnong', 'Braybrook', 'Sports', 'Football']",,
Maribyrnong Reserve,Maribyrnong,-37.767854,144.895456,Australian Rules Football,1.0,Grass,4. Good,"Umpire/Officials, Unisex",Maribyrnong,Hortense Street Maribyrnong 3032,,"['Maribyrnong', 'Maribyrnong', 'Sports', 'Football']",,
McIvor Reserve,Yarraville,-37.821366999999995,144.86942,Australian Rules Football,1.0,Grass,5. Very Good,"Umpire/Officials, Unisex",Maribyrnong,Benbow Street Yarraville 3013,,"['Maribyrnong', 'Yarraville', 'Sports', 'Football']",,
Mervyn G Hughes Oval,Footscray,-37.789454,144.90011,Australian Rules Football,1.0,Grass,4. Good,"Umpire/Officials, Unisex",Maribyrnong,Farnsworth Avenue Footscray 3012,,"['Maribyrnong', 'Footscray', 'Sports', 'Football']",,
Whitten Oval,West Footscray,-37.799971,144.886788,Australian Rules Football,1.0,Grass,,,Maribyrnong,417 Barkly Street West Footscray 3012,,"['Maribyrnong', 'West Footscray', 'Sports', 'Football']",,
Yarraville Oval,Yarraville,-37.8149,144.884146,Australian Rules Football,1.0,Grass,5. Very Good,"Umpire/Officials, Unisex",Maribyrnong,Powell Street Yarraville 3013,,"['Maribyrnong', 'Yarraville', 'Sports', 'Football']",,
Footscray Nicholson Recreation Centre (Vic Uni),Footscray,-37.804628,144.898151,Badminton,,,,,Maribyrnong,Buckley Street Footscray 3011,,"['Maribyrnong', 'Footscray', 'Sports', 'Badminton']",,
Footscray Park Aquatic and Fitness Centre (Vic Uni),Footscray,-37.792875,144.898001,Badminton,,,,,Maribyrnong,Ballarat Road Footscray 3011,,"['Maribyrnong', 'Footscray', 'Sports', 'Badminton']",,
RecWest Braybrook,Braybrook,-37.783590000000004,144.848733,Basketball,4.0,,4. Good,"Umpire/Officials, Unisex",Maribyrnong,Lily Street Braybrook 3019,,"['Maribyrnong', 'Braybrook', 'Sports', 'Basketball']",,
RecWest Footscray,Footscray,-37.795598,144.879866,Basketball,1.0,,2. Poor,Unisex,Maribyrnong,Market Street Footscray 3011,,"['Maribyrnong', 'Footscray', 'Sports', 'Basketball']",,
Rogers Reserve,Maidstone,-37.787789000000004,144.873512,Basketball,1.0,Asphalt,,,Maribyrnong,Burns Street Maidstone 3012,,"['Maribyrnong', 'Maidstone', 'Sports', 'Basketball']",,
Skinner Reserve,Braybrook,-37.787315,144.855322,Basketball,1.0,Synthetic,3. Average,,Maribyrnong,Churchill Avenue Braybrook 3019,,"['Maribyrnong', 'Braybrook', 'Sports', 'Basketball']",,
Action Indoor Sports,Footscray,-37.788284000000004,144.88972900000002,Beach Volleyball,1.0,,,,Maribyrnong,90 Gordon Street Footscray 3011,,"['Maribyrnong', 'Footscray', 'Sports']",,
Yarraville BXM,Yarraville,-37.818119,144.876655,BMX,1.0,Grass,,,Maribyrnong,Day Street Yarraville 3013,,"['Maribyrnong', 'Yarraville', 'Sports']",,
Footscray Boat Club,Footscray,-37.790896000000004,144.901989,Canoeing,,,,,Maribyrnong,40 Farnsworth Avenue Footscray 3011,,"['Maribyrnong', 'Footscray', 'Sports', 'Canoeing']",,
Angliss Reserve,Yarraville,-37.817627,144.869826,Cricket,2.0,Turf Pitch,2. Poor,Unisex,Maribyrnong,Roberts Street Yarraville 3013,,"['Maribyrnong', 'Yarraville', 'Sports', 'Cricket']",,
Footscray Park,Footscray,-37.792242,144.902017,Cricket,5.0,Concrete Pitch,2. Poor,,Maribyrnong,Maribyrnong Boulevard Footscray 3011,,"['Maribyrnong', 'Footscray', 'Sports', 'Cricket']",,
Henry Turner South Reserve,Footscray,-37.79159,144.899676,Cricket,1.0,Turf Pitch,2. Poor,"Umpire/Officials, Unisex",Maribyrnong,Farnsworth Avenue Footscray 3011,,"['Maribyrnong', 'Footscray', 'Sports', 'Cricket']",,
Robert Barrett Reserve,Maribyrnong,-37.778339,144.88635,Cricket,1.0,Synthetic Pitch,,,Maribyrnong,Rosamond Road Maribyrnong 3032,,"['Maribyrnong', 'Maribyrnong', 'Sports', 'Cricket']",,
Scovell Reserve,Maidstone,-37.784121,144.877917,Cricket,1.0,Turf Pitch,2. Poor,Unisex,Maribyrnong,Scovell Crescent Maidstone 3012,,"['Maribyrnong', 'Maidstone', 'Sports', 'Cricket']",,
Anytime Fitness West Footscray,Braybrook,-37.794398,144.86264,Fitness / Gymnasium Workouts,,,,,Maribyrnong,67 Ashley Street Braybrook 3019,,"['Maribyrnong', 'Braybrook', 'Sports', 'Gymnasium']",,
Crunch Fitness,Maribyrnong,-37.775696999999994,144.88654499999998,Fitness / Gymnasium Workouts,,,,,Maribyrnong,120-200 Rosamond Road Maribyrnong 3032,,"['Maribyrnong', 'Maribyrnong', 'Sports', 'Gymnasium']",,
Derrimut 24/7 Gym,Braybrook,-37.780115,144.86143700000002,Fitness / Gymnasium Workouts,,,,,Maribyrnong,244-246 Ballarat Road Braybrook 3019,,"['Maribyrnong', 'Braybrook', 'Sports', 'Gymnasium']",,
Fernwood Women's Health Clubs,Yarraville,-37.819857,144.898548,Fitness / Gymnasium Workouts,,,,,Maribyrnong,Whitehall Street Yarraville 3013,,"['Maribyrnong', 'Yarraville', 'Sports', 'Gymnasium']",,
Focus Health and Fitness Yarraville,Yarraville,-37.809801,144.899339,Fitness / Gymnasium Workouts,,,,,Maribyrnong,121-123 Hyde Street Yarraville 3013,,"['Maribyrnong', 'Yarraville', 'Sports', 'Gymnasium']",,
Fusion Martial Arts & Fitness,Yarraville,-37.821389,144.896175,Fitness / Gymnasium Workouts,,,,,Maribyrnong,275 Hyde Street Yarraville 3013,,"['Maribyrnong', 'Yarraville', 'Sports', 'Gymnasium']",,
Genesis Fitness Maidstone,Maidstone,-37.775649,144.880083,Fitness / Gymnasium Workouts,,,,,Maribyrnong,42 Hampstead Road Maidstone 3012,,"['Maribyrnong', 'Maidstone', 'Sports', 'Gymnasium']",,
Maidstone Health Club,Braybrook,-37.780574,144.861354,Fitness / Gymnasium Workouts,,,,,Maribyrnong,2/244 Ballarat Road Braybrook 3019,,"['Maribyrnong', 'Braybrook', 'Sports', 'Gymnasium']",,
Maribyrnong Aquatic Centre,Maribyrnong,-37.7768,144.886664,Fitness / Gymnasium Workouts,,,5. Very Good,"Female, Male",Maribyrnong,1 Aquatic Drive Maribyrnong 3032,,"['Maribyrnong', 'Maribyrnong', 'Sports', 'Gymnasium']",,
United Force Gymnasium,Footscray,-37.796787,144.873101,Fitness / Gymnasium Workouts,,,,,Maribyrnong,630 Barkly Street Footscray 3012,,"['Maribyrnong', 'Footscray', 'Sports', 'Gymnasium']",,
Zoo Fitness - Braybrook,Braybrook,-37.780522999999995,144.861096,Fitness / Gymnasium Workouts,,,,,Maribyrnong,2/244 Ballarat Road Braybrook 3019,,"['Maribyrnong', 'Braybrook', 'Sports', 'Gymnasium']",,
Medway Golf Club,Maidstone,-37.776838,144.869581,Golf,1.0,18 Hole Course - Public,,,Maribyrnong,57 Omar Street Maidstone 3012,,"['Maribyrnong', 'Maidstone', 'Sports', 'Golf']",,
Flip 4 Fun,Footscray,-37.787921000000004,144.889933,Gymnastics,,,,,Maribyrnong,88 Gordon Street Footscray 3011,,"['Maribyrnong', 'Footscray', 'Sports', 'Gymnastics']",,
Footscray City Gym Club,West Footscray,-37.811785,144.861537,Gymnastics,,,,,Maribyrnong,10 Mitford Parade West Footscray 3012,,"['Maribyrnong', 'West Footscray', 'Sports', 'Gymnastics']",,
Footscray Park Bowling Club,Footscray,-37.792678,144.89631799999998,Lawn Bowls,3.0,Grass,3. Average,"Female, Male",Maribyrnong,Hoadley Court Footscray 3011,,"['Maribyrnong', 'Footscray', 'Sports']",,
Rosamond Bowling Club,Maidstone,-37.77837,144.88546499999998,Lawn Bowls,2.0,Grass,3. Average,Unisex,Maribyrnong,Rosamond Road Maidstone 3012,,"['Maribyrnong', 'Maidstone', 'Sports']",,
Sunshine VRI Bowling Club,Braybrook,-37.792069,144.8485,Lawn Bowls,2.0,,,,Maribyrnong,Kent Street Braybrook 3019,,"['Maribyrnong', 'Braybrook', 'Sports']",,
Yarraville Footscray Bowling Club,Yarraville,-37.819314,144.869677,Lawn Bowls,3.0,Grass,4. Good,"Female, Male",Maribyrnong,339a Francis Street Yarraville 3013,,"['Maribyrnong', 'Yarraville', 'Sports']",,
Johnson Reserve,Maidstone,-37.792328000000005,144.875439,Soccer,1.0,Grass,3. Average,"Umpire/Officials, Unisex",Maribyrnong,Oxford Street Maidstone 3012,,"['Maribyrnong', 'Maidstone', 'Sports', 'Soccer']",,
Legacy Taekwon-Do,Braybrook,-37.780035999999996,144.86261299999998,Tae Kwon Do,,,,,Maribyrnong,3 Evans Street Braybrook 3019,,Martial Arts,,
Highpoint AMF Bowling,Maribyrnong,-37.788284000000004,144.88972900000002,Ten Pin Bowling,,,,,Maribyrnong,169 Rosamond Road Maribyrnong 3032,,"['Maribyrnong', 'Maribyrnong', 'Sports']",,
Chruickshank Park,Yarraville,-37.818041,144.875845,Tennis (Outdoor),2.0,Plexipave,3. Average,,Maribyrnong,Francis Street Yarraville 3013,,"['Maribyrnong', 'Yarraville', 'Sports', 'Tennis']",,
Melton South Recreation Reserve,Melton South,-37.708261,144.576442,Athletics,1.0,Grass,3. Average,Unisex,Melton,Northcott Street Melton South 3338,,"['Melton', 'Melton South', 'Sports', 'Athletics']",,
Arnolds Creek Recreation Reserve,Melton,-37.667209,144.546475,Australian Rules Football,1.0,Grass,Same as above,Same as above,Melton,Claret Ash Boulevard Melton 3337,,"['Melton', 'Melton', 'Sports', 'Football']",,
Blackwood Drive Recreation Reserve,Melton,-37.692236,144.57204299999998,Australian Rules Football,2.0,Grass,4. Good,"Female, Male, Umpire/Officials",Melton,Blackwood Drive Melton 3337,,"['Melton', 'Melton', 'Sports', 'Football']",,
